,left,right,cosine,dice,euclidean,jaccard,lcs,levenshtein,simpson,weighted-jaccard
82,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_amd64_windows_rs-pure.exe_5b22b00c.json,0.101167108,0.098356155,0.085369832,0.088186313,0.06546968,0.051887926,0.112397769,0.068110449
83,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_amd64_windows_rs-sys.exe_3e3736a4.json,0.103619813,0.100605483,0.087519533,0.090130855,0.067088771,0.053171256,0.115102555,0.069812968
84,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_arm64_darwin_clang_34392dac.json,0.023504312,0.022704577,0.019730536,0.020929306,0.015019054,0.011917436,0.025009769,0.016044713
85,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_arm64_darwin_gcc_3894c17c.json,0.025128491,0.02413008,0.021219819,0.021974403,0.015542225,0.011982126,0.026963658,0.017029054
86,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_arm64_darwin_go_293ce2f9.json,0.820928783,0.886276098,0.62929655,0.816061068,0.565655016,0.445014212,0.983978116,0.532116925
87,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_arm64_darwin_rs-pure_9d252a8f.json,0.644919756,0.630110524,0.534190134,0.54389931,0.394223361,0.29393395,0.767074341,0.412873555
88,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_arm64_darwin_rs-sys_b370b5cd.json,0.651616112,0.637271436,0.539240892,0.549640667,0.398512822,0.2970379,0.776631259,0.416579092
89,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_arm64_darwin_tgo_f357c0bc.json,0.321716355,0.302984542,0.274664695,0.267107529,0.228088834,0.18640962,0.386479093,0.225353145
90,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_arm64_linux_clang_375294fc.json,0.025247117,0.024801944,0.021532732,0.022879129,0.01655921,0.013320038,0.027354435,0.017734041
91,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_arm64_linux_gcc_a5af3ca9.json,0.029757678,0.028884494,0.025155282,0.026323455,0.019362035,0.015353121,0.032434545,0.020479353
92,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_arm64_linux_go_3b3448f2.json,0.79925624,0.857866033,0.609547577,0.783155505,0.539859544,0.412698803,0.982415006,0.506320905
93,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_arm64_linux_rs-pure_927550bd.json,0.638963866,0.62457491,0.530862479,0.54060877,0.389820262,0.292141249,0.756633156,0.411496315
94,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_arm64_linux_rs-sys_e5a5c625.json,0.646647499,0.633053631,0.537505096,0.547446906,0.395275197,0.296098799,0.768237766,0.416350339
95,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_arm64_linux_tgo_d72531be.json,0.386824668,0.361072225,0.323533345,0.315537873,0.262822062,0.212387091,0.474013286,0.261589586
96,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_arm64_windows_clang.exe_797eefb0.json,0.81305784,0.77179058,0.632463733,0.649292514,0.472126205,0.345210951,0.984324235,0.487502423
97,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_arm64_windows_gcc.exe_4b1549dd.json,0.03839064,0.036838868,0.032327705,0.033298996,0.024513172,0.019022412,0.041813208,0.026050945
98,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_arm64_windows_go.exe_ed2de88c.json,0.641809139,0.635975254,0.544567475,0.600824599,0.453556066,0.366225915,0.679562329,0.461859739
99,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_arm64_windows_msvc.exe_22595510.json,0.046911263,0.04357612,0.040059989,0.038766392,0.031673772,0.025122802,0.050801094,0.032416613
100,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_arm64_windows_rs-pure.exe_1f25dd7f.json,0.114797422,0.112079892,0.096897442,0.100307206,0.074454474,0.059120288,0.12845406,0.076954036
101,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_arm64_windows_rs-sys.exe_d6a1dc5d.json,0.117359824,0.114479924,0.099120011,0.102371843,0.076178509,0.060491107,0.131365503,0.078702677
102,birthmarks/bzip2_amd64_darwin_rs-pure_b656f970.json,birthmarks/bzip2_amd64_darwin_rs-sys_26d20788.json,0.984682314,0.983234596,0.98035128,0.980868022,0.976912015,0.97382593,0.987108116,0.976808615
103,birthmarks/bzip2_amd64_darwin_rs-pure_b656f970.json,birthmarks/bzip2_amd64_darwin_tgo_6170c260.json,0.155087532,0.15124639,0.132469969,0.138327195,0.100728171,0.079327163,0.168766481,0.109589667
104,birthmarks/bzip2_amd64_darwin_rs-pure_b656f970.json,birthmarks/bzip2_amd64_linux_clang_ad366643.json,0.01847279,0.017914763,0.015739208,0.016434693,0.011999349,0.009572748,0.019923821,0.012988092
105,birthmarks/bzip2_amd64_darwin_rs-pure_b656f970.json,birthmarks/bzip2_amd64_linux_gcc_ccc4cf10.json,0.020374331,0.019586511,0.017546938,0.017831928,0.01295224,0.010144448,0.021974802,0.014404769
106,birthmarks/bzip2_amd64_darwin_rs-pure_b656f970.json,birthmarks/bzip2_amd64_linux_go_cf343d1a.json,0.656430132,0.623249713,0.539561639,0.539267769,0.396636106,0.296062042,0.753571983,0.418690607
107,birthmarks/bzip2_amd64_darwin_rs-pure_b656f970.json,birthmarks/bzip2_amd64_linux_rs-pure_f4511389.json,0.823407485,0.848179058,0.699293277,0.762710485,0.690349602,0.587274637,0.968212652,0.619298928
108,birthmarks/bzip2_amd64_darwin_rs-pure_b656f970.json,birthmarks/bzip2_amd64_linux_rs-sys_9751c6e7.json,0.814989556,0.840215413,0.690893063,0.754746602,0.677154219,0.574192778,0.953664878,0.608981431
109,birthmarks/bzip2_amd64_darwin_rs-pure_b656f970.json,birthmarks/bzip2_amd64_linux_tgo_cc1b5a2d.json,0.181856303,0.179583768,0.152372086,0.161504664,0.115781328,0.089975225,0.205391151,0.123023195
110,birthmarks/bzip2_amd64_darwin_rs-pure_b656f970.json,birthmarks/bzip2_amd64_windows_clang.exe_fb68290e.json,0.554876815,0.536681011,0.461947783,0.481734296,0.350826616,0.268746162,0.614708468,0.373604477
111,birthmarks/bzip2_amd64_darwin_rs-pure_b656f970.json,birthmarks/bzip2_amd64_windows_gcc.exe_2a5000a8.json,0.02992799,0.028930207,0.025530274,0.026271387,0.01931533,0.015035888,0.032522707,0.021031742
112,birthmarks/bzip2_amd64_darwin_rs-pure_b656f970.json,birthmarks/bzip2_amd64_windows_go.exe_8d915129.json,0.59924432,0.569228098,0.491120701,0.494206827,0.355568773,0.261606653,0.681498548,0.38042881
113,birthmarks/bzip2_amd64_darwin_rs-pure_b656f970.json,birthmarks/bzip2_amd64_windows_msvc.exe_4eddc4d6.json,0.036448547,0.03523894,0.031226389,0.032304054,0.024280701,0.019406712,0.039261647,0.026184162
114,birthmarks/bzip2_amd64_darwin_rs-pure_b656f970.json,birthmarks/bzip2_amd64_windows_rs-pure.exe_5b22b00c.json,0.137315637,0.135283727,0.114873755,0.124616235,0.096344068,0.080228437,0.149909957,0.095430328
115,birthmarks/bzip2_amd64_darwin_rs-pure_b656f970.json,birthmarks/bzip2_amd64_windows_rs-sys.exe_3e3736a4.json,0.140617777,0.138396225,0.117671281,0.127403625,0.098673766,0.082145162,0.153517452,0.097700387
116,birthmarks/bzip2_amd64_darwin_rs-pure_b656f970.json,birthmarks/bzip2_arm64_darwin_clang_34392dac.json,0.017525857,0.016987742,0.014964333,0.015614413,0.011351151,0.008969695,0.018751831,0.012245143
117,birthmarks/bzip2_amd64_darwin_rs-pure_b656f970.json,birthmarks/bzip2_arm64_darwin_gcc_3894c17c.json,0.018828061,0.018068744,0.015932367,0.016423179,0.011606634,0.00888146,0.020216818,0.012702768
118,birthmarks/bzip2_amd64_darwin_rs-pure_b656f970.json,birthmarks/bzip2_arm64_darwin_go_293ce2f9.json,0.58414601,0.60462839,0.441574483,0.521260271,0.323016809,0.234465927,0.737754621,0.341120925
119,birthmarks/bzip2_amd64_darwin_rs-pure_b656f970.json,birthmarks/bzip2_arm64_darwin_rs-pure_9d252a8f.json,0.938783395,0.929380045,0.860484261,0.893333796,0.788619608,0.698750883,0.977439203,0.815474831
120,birthmarks/bzip2_amd64_darwin_rs-pure_b656f970.json,birthmarks/bzip2_arm64_darwin_rs-sys_b370b5cd.json,0.927324529,0.917521201,0.849290884,0.881555125,0.775431558,0.686249768,0.965426311,0.802752188
121,birthmarks/bzip2_amd64_darwin_rs-pure_b656f970.json,birthmarks/bzip2_arm64_darwin_tgo_f357c0bc.json,0.243312274,0.229133305,0.203985181,0.20227754,0.174251531,0.139710586,0.289774392,0.169166224
122,birthmarks/bzip2_amd64_darwin_rs-pure_b656f970.json,birthmarks/bzip2_arm64_linux_clang_375294fc.json,0.019029247,0.018660064,0.016299841,0.017243023,0.012500716,0.009923783,0.020509815,0.013519492
