id,left (arch),left (os),left (compiler),right (arch),right (os),right (compiler),cosine,dice,euclidean,jaccard,lcs,levenshtein,simpson,weighted-jaccard
477,arm64,darwin,clang,arm64,darwin,gcc,0.861595,0.820746,0.702583,0.760540,0.582578,0.476090,0.927536,0.620191
478,arm64,darwin,clang,arm64,darwin,go,0.023740,0.022698,0.019886,0.020643,0.014707,0.011431,0.025417,0.016179
479,arm64,darwin,clang,arm64,darwin,rs-pure,0.017924,0.017457,0.015195,0.016114,0.011636,0.009305,0.019185,0.012406
48,amd64,darwin,gcc,amd64,windows,msvc,0.459186,0.433037,0.383332,0.386539,0.293170,0.221354,0.500000,0.310658
480,arm64,darwin,clang,arm64,darwin,rs-sys,0.018187,0.017717,0.015472,0.016393,0.011960,0.009517,0.019423,0.012714
481,arm64,darwin,clang,arm64,darwin,tgo,0.059648,0.056896,0.049717,0.051203,0.038227,0.030014,0.064712,0.040030
482,arm64,darwin,clang,arm64,linux,clang,0.842814,0.864204,0.772158,0.831228,0.751007,0.681708,0.914286,0.737007
483,arm64,darwin,clang,arm64,linux,gcc,0.703657,0.671397,0.574467,0.606178,0.478807,0.380852,0.771084,0.492755
484,arm64,darwin,clang,arm64,linux,go,0.023743,0.022370,0.019790,0.020139,0.014927,0.011730,0.025457,0.016063
485,arm64,darwin,clang,arm64,linux,rs-pure,0.017845,0.017242,0.015334,0.015928,0.011725,0.009502,0.018924,0.012677
486,arm64,darwin,clang,arm64,linux,rs-sys,0.018137,0.017561,0.015641,0.016268,0.012012,0.009718,0.019213,0.013019
487,arm64,darwin,clang,arm64,linux,tgo,0.049222,0.046754,0.040917,0.042323,0.031267,0.025259,0.052762,0.032844
488,arm64,darwin,clang,arm64,windows,clang,0.023690,0.023673,0.020689,0.022871,0.018346,0.015614,0.024644,0.018725
489,arm64,darwin,clang,arm64,windows,gcc,0.553348,0.537089,0.447011,0.492217,0.368042,0.296082,0.598131,0.383962
49,amd64,darwin,gcc,amd64,windows,rs-pure,0.002730,0.002623,0.002334,0.002382,0.001718,0.001350,0.002943,0.001916
490,arm64,darwin,clang,arm64,windows,go,0.034325,0.032320,0.028858,0.029118,0.021856,0.017302,0.036803,0.023543
491,arm64,darwin,clang,arm64,windows,msvc,0.445133,0.423053,0.361299,0.376423,0.291367,0.225946,0.492308,0.295573
492,arm64,darwin,clang,arm64,windows,rs-pure,0.003008,0.002897,0.002544,0.002657,0.001979,0.001571,0.003213,0.002087
493,arm64,darwin,clang,arm64,windows,rs-sys,0.003076,0.002973,0.002610,0.002733,0.002036,0.001619,0.003285,0.002146
494,arm64,darwin,gcc,arm64,darwin,go,0.025446,0.024236,0.021263,0.021854,0.015364,0.011674,0.027403,0.016776
495,arm64,darwin,gcc,arm64,darwin,rs-pure,0.019221,0.018541,0.016149,0.016906,0.011965,0.009299,0.020683,0.012817
496,arm64,darwin,gcc,arm64,darwin,rs-sys,0.019481,0.018801,0.016400,0.017169,0.012144,0.009436,0.020941,0.013078
497,arm64,darwin,gcc,arm64,darwin,tgo,0.063918,0.061108,0.052726,0.054807,0.038772,0.029641,0.069767,0.041054
498,arm64,darwin,gcc,arm64,linux,clang,0.846273,0.822224,0.671711,0.741393,0.553022,0.437792,0.985714,0.574457
