id,ta,,,tb,,,cosin,dic,euclidea,jaccar,lc,levenshtei,simpso,weighted-jaccar
118,amd64,darwin,rs-pure,arm64,darwin,tgo,0.132731,0.129032,0.114137,0.119078,0.082163,0.064331,0.141872,0.094675
119,amd64,darwin,rs-pure,arm64,linux,clang,0.019825,0.019394,0.016933,0.01794,0.01283,0.010175,0.021296,0.014017
120,amd64,darwin,rs-pure,arm64,linux,gcc,0.023657,0.02281,0.020043,0.020789,0.015053,0.01188,0.025495,0.016263
121,amd64,darwin,rs-pure,arm64,linux,go,0.638705,0.620569,0.51272,0.540232,0.369125,0.27396,0.742334,0.396842
122,amd64,darwin,rs-pure,arm64,linux,rs-pure,0.943089,0.934021,0.857061,0.892604,0.768524,0.668551,0.989202,0.799956
123,amd64,darwin,rs-pure,arm64,linux,rs-sys,0.930259,0.920328,0.844676,0.879448,0.755401,0.657046,0.974805,0.787091
124,amd64,darwin,rs-pure,arm64,linux,tgo,0.172398,0.17034,0.144864,0.154603,0.108738,0.085459,0.192262,0.119107
125,amd64,darwin,rs-pure,arm64,windows,clang,0.65134,0.626185,0.535992,0.550315,0.410649,0.31179,0.740552,0.427001
126,amd64,darwin,rs-pure,arm64,windows,go,0.463668,0.450225,0.377742,0.400186,0.257347,0.188068,0.519796,0.292258
127,amd64,darwin,rs-pure,arm64,windows,msvc,0.189967,0.183243,0.160104,0.165748,0.120935,0.09322,0.207858,0.130511
128,amd64,darwin,rs-pure,arm64,windows,rs-pure,0.631828,0.627764,0.532698,0.567789,0.466735,0.3737,0.729499,0.458261
129,amd64,darwin,rs-pure,arm64,windows,rs-sys,0.638706,0.63426,0.535811,0.572648,0.468388,0.374792,0.739226,0.459515
130,amd64,darwin,rs-sys,amd64,darwin,tgo,0.125325,0.12191,0.106916,0.112148,0.074373,0.056494,0.134347,0.087123
131,amd64,darwin,rs-sys,amd64,linux,clang,0.019043,0.018601,0.016342,0.017074,0.012494,0.00993,0.020669,0.013492
132,amd64,darwin,rs-sys,amd64,linux,gcc,0.020298,0.019529,0.017505,0.017805,0.013075,0.010305,0.021884,0.014372
133,amd64,darwin,rs-sys,amd64,linux,go,0.662733,0.634068,0.54766,0.55114,0.39936,0.300669,0.761993,0.424859
134,amd64,darwin,rs-sys,amd64,linux,rs-pure,0.8116,0.841994,0.691937,0.755108,0.682169,0.580093,0.970851,0.612115
135,amd64,darwin,rs-sys,amd64,linux,rs-sys,0.808298,0.84258,0.689432,0.756621,0.683887,0.582201,0.962741,0.611322
136,amd64,darwin,rs-sys,amd64,linux,tgo,0.154159,0.152639,0.128866,0.138518,0.093501,0.071468,0.172036,0.10426
137,amd64,darwin,rs-sys,amd64,windows,clang,0.574804,0.555312,0.478651,0.497564,0.362626,0.277188,0.63769,0.387048
138,amd64,darwin,rs-sys,amd64,windows,gcc,0.031036,0.030076,0.026383,0.027359,0.020018,0.015573,0.033739,0.021728
139,amd64,darwin,rs-sys,amd64,windows,go,0.614938,0.615341,0.500256,0.525887,0.354543,0.258573,0.756535,0.375018
140,amd64,darwin,rs-sys,amd64,windows,msvc,0.037754,0.03658,0.032218,0.03354,0.025151,0.020157,0.040729,0.026868
141,amd64,darwin,rs-sys,amd64,windows,rs-pure,0.579899,0.5817,0.504352,0.542763,0.483576,0.422106,0.647638,0.456022
142,amd64,darwin,rs-sys,amd64,windows,rs-sys,0.585057,0.586838,0.508474,0.547405,0.489495,0.428735,0.654206,0.460398
143,amd64,darwin,rs-sys,arm64,darwin,clang,0.018188,0.017686,0.0154,0.01631,0.011742,0.009212,0.019453,0.012682
144,amd64,darwin,rs-sys,arm64,darwin,gcc,0.017026,0.016529,0.014361,0.015197,0.010744,0.008277,0.018237,0.011718
145,amd64,darwin,rs-sys,arm64,darwin,go,0.58575,0.609572,0.438982,0.5254,0.311299,0.223404,0.740729,0.341488
146,amd64,darwin,rs-sys,arm64,darwin,rs-pure,0.947055,0.937129,0.865545,0.899564,0.789386,0.699057,0.988754,0.816776
147,amd64,darwin,rs-sys,arm64,darwin,rs-sys,0.938754,0.929191,0.861775,0.893801,0.790428,0.702379,0.9769,0.817045
148,amd64,darwin,rs-sys,arm64,darwin,tgo,0.134492,0.130781,0.115599,0.120705,0.083172,0.065177,0.143769,0.095903
149,amd64,darwin,rs-sys,arm64,linux,clang,0.020111,0.019737,0.017187,0.01832,0.013045,0.010323,0.021581,0.014265
150,amd64,darwin,rs-sys,arm64,linux,gcc,0.024005,0.023146,0.020336,0.02112,0.015332,0.012081,0.025836,0.016589
151,amd64,darwin,rs-sys,arm64,linux,go,0.645363,0.627925,0.515095,0.546188,0.372466,0.276442,0.752262,0.399159
152,amd64,darwin,rs-sys,arm64,linux,rs-pure,0.948595,0.938895,0.858678,0.895806,0.767777,0.666939,0.997562,0.798747
153,amd64,darwin,rs-sys,arm64,linux,rs-sys,0.942105,0.932815,0.855633,0.891482,0.768565,0.669724,0.987842,0.799139
154,amd64,darwin,rs-sys,arm64,linux,tgo,0.174727,0.172647,0.146866,0.156715,0.110214,0.086657,0.194833,0.120704
155,amd64,darwin,rs-sys,arm64,windows,clang,0.65978,0.634525,0.542869,0.557568,0.416702,0.316555,0.750456,0.432742
156,amd64,darwin,rs-sys,arm64,windows,go,0.468986,0.455731,0.380407,0.404756,0.259898,0.189996,0.526748,0.294563
157,amd64,darwin,rs-sys,arm64,windows,msvc,0.192535,0.185791,0.162233,0.168092,0.122584,0.094551,0.210638,0.132296
158,amd64,darwin,rs-sys,arm64,windows,rs-pure,0.625414,0.621184,0.528847,0.56243,0.461905,0.369443,0.719862,0.454581
159,amd64,darwin,rs-sys,arm64,windows,rs-sys,0.632683,0.628321,0.53368,0.568577,0.468193,0.375567,0.729461,0.459418
160,amd64,darwin,tgo,amd64,linux,clang,0.135881,0.12916,0.113117,0.11328,0.084555,0.064171,0.153846,0.088199
161,amd64,darwin,tgo,amd64,linux,gcc,0.144841,0.138891,0.12069,0.122887,0.08946,0.067133,0.162896,0.09415
162,amd64,darwin,tgo,amd64,linux,go,0.16252,0.157138,0.137008,0.142708,0.096131,0.072137,0.176306,0.109887
163,amd64,darwin,tgo,amd64,linux,rs-pure,0.121041,0.117567,0.102081,0.105424,0.070441,0.052066,0.13398,0.08042
164,amd64,darwin,tgo,amd64,linux,rs-sys,0.122658,0.11921,0.103371,0.106912,0.071637,0.053017,0.135791,0.081458
165,amd64,darwin,tgo,amd64,linux,tgo,0.708292,0.727562,0.609969,0.68609,0.592469,0.512595,0.780919,0.557719
166,amd64,darwin,tgo,amd64,windows,clang,0.194664,0.188752,0.1631,0.171955,0.112766,0.084612,0.210677,0.130939
167,amd64,darwin,tgo,amd64,windows,gcc,0.222439,0.214775,0.184523,0.189631,0.13914,0.105001,0.251131,0.144969
168,amd64,darwin,tgo,amd64,windows,go,0.159017,0.156794,0.133768,0.141335,0.093076,0.069605,0.177581,0.104991
169,amd64,darwin,tgo,amd64,windows,msvc,0.270015,0.255053,0.221184,0.223898,0.168213,0.129097,0.303167,0.172611
170,amd64,darwin,tgo,amd64,windows,rs-pure,0.080918,0.078614,0.068792,0.072085,0.047676,0.035968,0.087008,0.055671
171,amd64,darwin,tgo,amd64,windows,rs-sys,0.081726,0.079359,0.069494,0.072732,0.048218,0.036509,0.08789,0.056219
172,amd64,darwin,tgo,arm64,darwin,clang,0.132899,0.124594,0.10872,0.110731,0.080326,0.061088,0.144796,0.086136
173,amd64,darwin,tgo,arm64,darwin,gcc,0.12427,0.116687,0.102239,0.103502,0.074201,0.055807,0.135747,0.081143
174,amd64,darwin,tgo,arm64,darwin,go,0.162851,0.160279,0.13412,0.144601,0.089965,0.066391,0.181371,0.104478
175,amd64,darwin,tgo,arm64,darwin,rs-pure,0.126712,0.123538,0.107963,0.113852,0.074884,0.056757,0.135875,0.087879
176,amd64,darwin,tgo,arm64,darwin,rs-sys,0.128259,0.124997,0.10921,0.115171,0.075667,0.057392,0.137523,0.088873
177,amd64,darwin,tgo,arm64,darwin,tgo,0.894694,0.871703,0.803887,0.823593,0.716475,0.60861,0.934461,0.747495
178,amd64,darwin,tgo,arm64,linux,clang,0.143475,0.137599,0.119411,0.122256,0.088352,0.06666,0.160633,0.094347
179,amd64,darwin,tgo,arm64,linux,gcc,0.171441,0.165533,0.140279,0.147275,0.102822,0.078038,0.192308,0.10928
180,amd64,darwin,tgo,arm64,linux,go,0.162944,0.159295,0.137255,0.144709,0.094369,0.070666,0.178586,0.109207
181,amd64,darwin,tgo,arm64,linux,rs-pure,0.125197,0.12195,0.106738,0.112483,0.073907,0.056073,0.134021,0.087039
182,amd64,darwin,tgo,arm64,linux,rs-sys,0.127035,0.123758,0.108239,0.11414,0.074898,0.056996,0.136,0.088223
183,amd64,darwin,tgo,arm64,linux,tgo,0.629325,0.627006,0.540597,0.579115,0.467331,0.373513,0.689548,0.475073
184,amd64,darwin,tgo,arm64,windows,clang,0.165464,0.160114,0.137595,0.145673,0.095408,0.072043,0.17902,0.110131
185,amd64,darwin,tgo,arm64,windows,go,0.231373,0.226673,0.194323,0.205453,0.131282,0.096628,0.255049,0.153841
186,amd64,darwin,tgo,arm64,windows,msvc,0.575967,0.550983,0.463058,0.48893,0.322028,0.239044,0.637807,0.35931
187,amd64,darwin,tgo,arm64,windows,rs-pure,0.089963,0.087576,0.076265,0.080451,0.052787,0.040032,0.096718,0.061688
188,amd64,darwin,tgo,arm64,windows,rs-sys,0.091134,0.088743,0.077199,0.081528,0.053504,0.040607,0.098004,0.062406
189,amd64,linux,clang,amd64,linux,gcc,0.890517,0.838799,0.758525,0.768428,0.633639,0.525358,0.944444,0.665429
190,amd64,linux,clang,amd64,linux,go,0.024877,0.023803,0.020666,0.021421,0.015995,0.012631,0.027124,0.016679
191,amd64,linux,clang,amd64,linux,rs-pure,0.018736,0.018256,0.016351,0.016585,0.012854,0.010619,0.020612,0.013568
192,amd64,linux,clang,amd64,linux,rs-sys,0.019011,0.018596,0.016572,0.016959,0.013044,0.010813,0.020891,0.013825
193,amd64,linux,clang,amd64,linux,tgo,0.10995,0.10289,0.092506,0.091272,0.070862,0.055931,0.120141,0.07391
194,amd64,linux,clang,amd64,windows,clang,0.030556,0.030537,0.026544,0.029048,0.024172,0.020722,0.032412,0.023862
195,amd64,linux,clang,amd64,windows,gcc,0.574622,0.549771,0.47019,0.504203,0.396647,0.323726,0.612613,0.406378
196,amd64,linux,clang,amd64,windows,go,0.025199,0.023777,0.021065,0.021329,0.01648,0.013016,0.02732,0.016861
197,amd64,linux,clang,amd64,windows,msvc,0.449953,0.43327,0.356959,0.38442,0.294345,0.226819,0.507463,0.292502
198,amd64,linux,clang,amd64,windows,rs-pure,0.012222,0.011913,0.010473,0.010841,0.008069,0.00641,0.013386,0.008588
199,amd64,linux,clang,amd64,windows,rs-sys,0.012359,0.012125,0.010602,0.011107,0.008234,0.006523,0.013522,0.008724
200,amd64,linux,clang,arm64,darwin,clang,0.848279,0.852624,0.757245,0.794536,0.680064,0.576929,0.941176,0.697374
201,amd64,linux,clang,arm64,darwin,gcc,0.804859,0.806744,0.719517,0.751872,0.647083,0.553061,0.882353,0.667144
202,amd64,linux,clang,arm64,darwin,go,0.025583,0.024256,0.021142,0.02173,0.016279,0.01292,0.027903,0.0169
203,amd64,linux,clang,arm64,darwin,rs-pure,0.019211,0.018657,0.016334,0.017042,0.01253,0.010023,0.020904,0.013339
204,amd64,linux,clang,arm64,darwin,rs-sys,0.019458,0.018979,0.016558,0.017413,0.012746,0.010158,0.021157,0.013538
205,amd64,linux,clang,arm64,darwin,tgo,0.129896,0.123198,0.108957,0.109629,0.08279,0.06495,0.143763,0.086377
206,amd64,linux,clang,arm64,linux,clang,0.907938,0.900445,0.809586,0.861303,0.741033,0.65959,0.957746,0.76328
207,amd64,linux,clang,arm64,linux,gcc,0.748108,0.706196,0.641478,0.6436,0.526638,0.427289,0.8,0.553568
